"Acer Iconia A3-A10","a3-a10"
"Asus Zenfone Go ZB500KL","x00ad"
"Asus Zenfone Live","a007"
"Asus Zenfone Live","zb501kl (a007)"
"Asus ZenFone Live","asus_a007"
"Asus ZenFone Live Plus","x00lda"
"Asus Zenfone Max","asus_z010d"
"Asus ZenFone Max","zc550kl (z010d)"
"Asus Zenfone Max ","z010d"
"Asus Zenfone Max Plus","zb570tl (x018d)"
"ASUS ZenFone Max Plus M1","zb570tl"
"Asus ZenFone Selfie","z00ud"
"Asus ZenFone Selfie","zd551kl (z00ud)"
"Asus Zenfone Selfie","asus_z00ud"
"Asus Zenfone V","asus_a006"
"ASUS ZenFone V Live","v500kl (a009)"
"Asus ZenFone V Live","asus_a009"
"Asus ZenFone2 Laser","asus_z00ld"
"ASUS ZenPad 10","z300c (p023)"
"Asus ZenPad 10","z301m (p028)"
"ASUS ZenPad 10","p01t_1"
"ASUS ZenPad 10","p00c"
"ASUS ZenPad 10","z300m/p00c"
"ASUS ZenPad 10","p023"
"Asus Zenpad 10","p028"
"ASUS ZenPad 3S 10","z500m"
"ASUS ZenPad 3S 10","z500m (p027)"
"ASUS ZenPad 8.0","z380m(p00a)"
"Asus ZenPad 8.0","p024"
"ASUS ZenPad 8.0","z380m"
"Asus Zenpad C","p01y"
"ASUS ZenPad Z10","zt500kl (p00i)"
"Asus Zenpad Z10","p00i"
"ASUS Zenpad Z8s","p00j"
"ASUS ZenPad Z8s","asus_p00j"
"ATT Trek Tablet","9020a"
"BAUNZ T60","t60"
"BlackBerry DTEK50","sth100-2"
"BlackBerry Keyone","bbb100-1"
"BlackBerry KEYone","bbb100-2"
"BlackBerry Priv","stv100-4"
"Blackberry Priv","stv100"
"Blackview A7 Pro","a7pro"
"Blackview bv6000","bv6000"
"Blackview bv6000s","bv6000s"
"Blackview BV7000 Pro","bv7000 pro"
"Blackview BV8000 Pro","bv8000 pro"
"BLU R1","r1 hd"
"BLU S1","s1"
"BLU Vivo XL2","vivo xl2"
"BQ Aquaris A4.5","aquaris a4.5"
"Bq Aquaris E4","aquaris e4"
"Bq Aquaris E4.5 Ubuntu Edition","aquaris e4.5"
"bq Aquaris E5","aquaris e5"
"BQ Aquaris E5 HD","aquaris e5 hd"
"bq Aquaris M10","aquaris m10 fhd"
"BQ Aquaris M10","aquaris m10"
"bq Aquaris M5","aquaris m5"
"bq Aquaris M5.5","aquaris m5.5"
"BQ Aquaris U","aquaris u"
"BQ Aquaris U Lite","aquaris u lite"
"Bq Aquaris U Plus","aquaris u plus"
"BQ Aquaris U2","aquaris u2"
"BQ Aquaris V","aquaris v"
"BQ Aquaris V Plus","aquaris v plus"
"BQ Aquaris X","aquaris x"
"BQ Aquaris X","aquaris x pro"
"bq Aquaris X5 Plus","aquaris x5"
"bq Aquaris X5 Plus","aquaris x5 plus"
"BQ Mobile BQS-5065 Choice","bqs-5065"
"Casper Via A1","via a1 1"
"Casper Via A1","via a1"
"Casper Via A1 1","via_a1_1"
"Casper VIA E1","via e1"
"Casper VIA E2","via e2"
"Casper VIA F1","via f1"
"Casper VIA G1","via g1 plus"
"Casper VIA M1","via m1"
"Casper VIA M2","via m2"
"Casper VIA M3","via m3"
"Casper VIA P2","via p2"
"Casper VIA V3","via v3"
"Casper VIA V5","via v5"
"Casper VIA V9","via v9"
"Cat Phones S60","s60"
"CAT S30","s30"
"Cat S40","s40"
"CAT S41","s41"
"Coolpad 3632","coolpad 3632a"
"Coolpad 3632A","3632a"
"Coolpad 8079","8079"
