"Acer Iconia A3-A10","a3-a10"
"LG Aristo 2","lm-x210"
"LG Aristo MS210","lgms210"
"LG Bello 2","x150"
"LG D405 L90","d405"
"LG Escape 3","k373"
"LG Escape 3 K373","lg-k373"
"LG Fiesta","l64vl"
"LG Fiesta","lgl64vl"
"LG Fiesta","l63bl"
"LG Fiesta","lgl164vl"
"LG Fiesta 2","l163bl"
"LG Fiesta 2","l164vl"
"LG Fortune","lg-m153"
"LG Fortune 2","lm-x210cm"
"LG Fortune M153","m153"
"LG G Pad","vk810"
"LG G Pad","vk815"
"LG G Pad","lg-lk460"
"LG G Pad","v410"
"LG G Pad 7.0","lg-v410"
"LG G Pad F2","lk460"
"LG G Pad V495","v495"
"LG G Pad X","v521"
"LG G Stylo","lgms631"
"LG G Stylo","lg-h631"
"LG G Stylo","ls770"
"LG G Stylo","h634"
"LG G Stylo","ms631"
"LG G Stylo ","h631"
"LG G Vista","vs880pp"
"LG G Vista","vs880"
"LG G2","d802t"
"LG G2","lg-d802"
"LG G2","d802"
"LG G2","d802tr"
"LG G2 mini","d620"
"LG G3","d855"
"LG G3","lg-d855"
"LG G3","d852"
"LG G3","vs985"
"LG G3","ls990"
"LG G3","d850"
"LG G3 Beat","d723"
"LG G3 S","d722"
"LG G3 Stylus","d693tr"
"LG G3 Stylus","d690"
"LG G3 Stylus","lg-d693n"
"LG G4","h810"
"LG G4","ls991"
"LG G4","h812"
"LG G4","lg-h815"
"LG G4","vs986"
"LG G4 ","h811"
"LG G4 H815","h815"
"LG G4 H815","h818"
"LG G4 Stylus","h540"
"LG G4 Stylus","h635"
"LG G4 Stylus ","h542"
"LG G4c","h525"
"LG G4C ","h525n"
"LG G4s","h735"
"LG G5","lg-h830"
"LG G5","rs988"
"LG G5","lg-h820"
"LG G5","h850"
"LG G5","vs987"
"LG G5","h830"
"LG G5","ls992"
"LG G5","lgls992"
"LG G5 ","lg-h850"
"LG G5 ","h840"
"LG G5 H820","h820"
"LG G5 H831","h831"
"LG G5 H840","lg-h840"
"LG G5 H850","lg/h850"
"LG G5 H860","h860"
"LG G6","lg-ls993"
"LG G6","h871"
"LG G6","us997"
"LG G6","h870ds"
"LG G6","lgus997"
"LG G6","vs988"
"LG G6","h873"
"LG G6","h872"
"LG G6","lg-h870"
"LG G6","lg-h872"
"LG G6","ls993"
"LG G6 Astro Black","h870"
"LG G6 H871","lg-h871"
"LG G7 ThinQ","lm-g710vm"
"LG G7 ThinQ","lm-g710"
"LG Google Nexus 4","nexus 4"
"LG Harmony","m257"
"LG Harmony","lg-m257"
"LG Judy","lg-g710"
"LG K10","lg-k410"
"LG K10","lg-k425"
"LG K10","lg-k428"
"LG K10","f670s"
"LG K10","m250"
"LG K10","lg/m250"
"LG K10","k420"
"LG K10","k430"
"LG K10","lg-k430"
"LG K10","ms428"
"LG K10","k425"
"LG K10","lg-k420"
"LG K10","lgms428"
"LG K10 LG-K428","k428"
"LG K10 M250","lg-m250"
"LG K20","mp260"
"LG K20","vs501"
"LG K20","lg-m255"
"LG K20 Plus","lgmp260"
"LG K20 plus","tp260"
"LG K20 Plus","lg-tp260"
"LG K3","k100"
"LG K3","ls450"
"LG K30","lm-x410(fg)"
"LG K4","k130"
"LG K4","k121"
"LG K4","lg-k130"
"LG K4","lg/m160"
"LG K4","lg-m151"
"LG K4","m160"
"LG K4","lg-x230"
"LG K4","lg-m160"
"LG K5","x220"
"LG K7","lg-k330"
"LG K7","x210"
"LG K7","ms330"
"LG K7","k7"
"LG K7","lgms330"
"LG K7 X210","lg-x210"
"LG K8","lg-x240"
"LG K8","k350"
"LG K8","lg/m200"
"LG K8","lg-m200"
"LG K8","m200"
"LG K8","lg-k350"
"LG K8","us215"
"LG K8 V","vs500"
"LG K8 V","vs500pp"
"LG L Bello","lg-d331"
"LG L Bello","d331"
"LG L Prime","d337"
"LG Leon","h340n"
"LG Leon","ms345"
"LG Leon","h320"
"LG LM-X410 (FG)","x410(fg)"
"LG Nexus 4","e960"
"LG Nexus 5","d820"
"LG Optimus G","e975"
"LG Optimus L70","d320"
"LG Optimus L90","d415"
"LG Optimus Zone 3","vs425pp"
"LG Phoenix 2","lg-k371"
"LG Phoenix 2","k371"
"LG Phoenix 3","lg/m150"
"LG Phoenix 3","m150"
"LG Phoenix 3","lg-m150"
"LG Power L22C","l22c"
"LG Premier","lgl62vl"
"LG Premier LTE","l62vl"
"LG Premier Pro","lml413dl"
"LG Q6","lg-m700"
"LG Q6 Alpha","m700"
"LG Q6 Alpha M700","lgm-m700"
"LG Rebel","lgl44vl"
"LG Rebel","l44vl"
"LG Rebel 2","l57bl"
"LG Rebel 2","lgl58vl"
"LG Rebel 2","l58vl"
"LG Rebel 3","l158vl"
"LG Rebel 3","lgl158vl"
"LG Risio 2","m154"
"LG Risio 2","lg-m154"
"LG Spirit","h440n"
"LG Spree","lg-k120"
"LG Spree","k120"
"LG Stylo 2","lgl82vl"
"LG Stylo 2","ls775"
"LG Stylo 2","lgls775"
"LG Stylo 2","k540"
"LG Stylo 2","lg-k540"
"LG Stylo 2 LTE","l82vl"
"LG Stylo 2 Plus","ms550"
"LG Stylo 2 Plus","lgms550"
"LG Stylo 2 Plus","k550"
"LG Stylo 2 Plus K550","lg-k550"
"LG Stylo 2 V","vs835"
"LG Stylo 3","ls777"
"LG Stylo 3","lgl83bl"
"LG Stylo 3","lg-ls777"
"LG Stylo 3","l84vl"
"LG Stylo 3","m430"
"LG Stylo 3","lg-m430"
"LG Stylo 3","lgl84vl"
"LG Stylo 3","l83bl"
"LG Stylo 3 Plus","m470"
"LG Stylo 3 Plus","lgmp450"
"LG Stylo 3 plus","tp450"
"LG Stylo 3 PLUS","lg-tp450"
"Lg Stylo 4","lm-q710(fgn)"
"LG Stylus 2","lg-k520"
"LG Stylus 2","k520"
"LG Stylus 3","lg-m400"
"LG Sunrise","l15g"
"LG Treasure","lgl52vl"
"LG Treasure LTE","l52vl"
"LG Tribute","lgls676"
"LG Tribute 2","ls665"
"LG Tribute 5","ls675"
"LG Tribute 5","lgls675"
"LG Tribute Dynasty","sp200"
"LG Tribute Dynasty","lg-sp200"
"LG Tribute HD","ls676"
"LG US215","lgus215"
"LG V10","h901"
"LG V10","vs990"
"LG V10 H900","h900"
"LG V10 H960","h960"
"LG V20","lg-h910"
"LG V20","us996"
"LG V20","lg-h990"
"LG V20","vs995"
"LG V20","h918"
"LG V20","ls997"
"LG V20","h910"
"LG V20","lg-h918"
"LG V20","lg-ls997"
"LG V20","h990"
"LG V30","h930"
"LG V30","h931"
"LG V30","lg-h931"
"LG V30","lg-h930"
"LG V30","vs996"
"LG V30","h932"
"LG V30","ls998"
"LG V30 H932","lg-h932"
"LG V30 Plus","lg-ls998"
"LG V35 ThinQ","lm-v350"
"LG Volt","ls740"
"LG X","m322"
"LG X Cam","lg-k580"
"LG X Cam ","k580"
"LG X charge","lg-m322"
"LG X charge","sp320"
"LG X charge","lg-sp320"
"LG X charge","m327"
"LG X charge","lg-m327"
"LG X power","k450"
"LG X Power","k210"
"LG X Power","ls755"
"LG X Power","lgls755"
"LG X power","lg-k220"
"LG X power","k220"
"LG X Power 2","lg/m320"
"LG X Power 2","lg-m320"
"LG X Power 2","m320g"
"LG X Power K450","lg-k450"
"LG X Power2","m320"
"LG X screen","lg-k500"
"LG X screen K500N","k500n"
"LG X Style","l56vl"
"LG X Style","lg-k200"
"LG X Venture","h700"
"LG X venture","lg-h700"
"LG X210","lg/x210"
"LG X220 K5","lg-x220"
"LG Xpower","lg/k220"
"LG Zone 4","lm-x210vpp"
"LG Zone X180G","lg-x180g"
"LUMIA 650","rm-1152"
"Lyf Wind 7","ls-5016"
"Medion Life","b5032"
"MeeGOPad T08","t08"
"Meizu m2","m2"
"Meizu M2 Note","m2 note"
"Meizu M3 Note","m3 note"
"Meizu M3S","m3s"
"Meizu M5","m5"
"Meizu M5 Note","m5 note"
"Meizu M5C","m5c"
"Meizu M5s","m5s"
"Meizu M6 Note","m6 note"
"Microsoft Lumia 535","lumia 535"
"Microsoft Lumia 550","lumia 550"
"MICROSOFT LUMIA 640","rm-1075"
"Microsoft Lumia 640","640"
"ModelHawk","model"
"Moto E4","moto e (4)"
"Moto Z2 Play","moto z2"
"Motorola DROID Maxx 2","xt1565"
"Motorola Droid Mini","xt1030"
"Motorola Droid Turbo","xt1254"
"Motorola Droid Turbo 2","xt1585"
"Motorola Droid Ultra","xt1080"
"Motorola E4 Plus","moto e (4) plus"
"Motorola Moto C","moto c"
"Motorola Moto C","xt1754"
"Motorola Moto C Plus","moto c plus"
"Motorola Moto E","motoe2(4g-lte)"
"Motorola Moto E","xt1505"
"Motorola MOTO E","xt1528"
"Motorola Moto E","xt1021"
"Motorola Moto E","xt830c"
"Motorola Moto E","moto e2"
"Motorola Moto E","xt1526"
"Motorola Moto E3","xt1700"
"Motorola Moto E3 Power","xt1706"
"Motorola Moto E4","xt1766"
"Motorola Moto E4","moto e(4)"
"Motorola Moto E4 Plus","xt1776"
"Motorola Moto E5","moto e5"
"Motorola Moto E5 Cruise","moto e5 cruise"
"Motorola Moto E5 Play","moto e5 play"
"Motorola moto e5 SUPRA","moto e5 supra"
"Motorola Moto G","xt1031"
"Motorola Moto G","xt1039"
"Motorola Moto G","xt1028"
"Motorola Moto G","xt1064"
"Motorola Moto G","xt1078"
"Motorola Moto G","xt1040"
"Motorola Moto G","moto g (3rd gen)"
"Motorola Moto G","motog3"
"Motorola Moto G","xt1032"
"Motorola Moto G","xt1068"
"Motorola Moto G","xt1069"
"Motorola Moto G","xt1033"
"Motorola Moto G2","xt1072"
"Motorola Moto G3","motog3-te"
"Motorola Moto G4","xt1622"
"Motorola Moto G4 Play","moto g play"
"Motorola Moto G4 Play","xt1609"
"Motorola Moto G5","xt1676"
"Motorola Moto G5 Plus","xt1684"
"Motorola Moto G5 Plus ","moto g (5) plus"
"Motorola Moto G5S","moto g (5s)"
"Motorola Moto G5S","xt1793"
"Motorola Moto G5S Plus","moto g (5s) plus"
"Motorola Moto G5S Plus","xt1803"
"Motorola Moto G6","moto g6"
"Motorola Moto G6","moto g(6)"
"Motorola Moto G6 Play","moto g6 play"
"Motorola Moto G6 Play","moto g(6) play"
"Motorola Moto g6 Plus","moto g(6) plus"
"Motorola Moto g6 Plus","moto g6 plus"
"Motorola Moto M","xt1663"
"Motorola Moto X","xt1097"
"Motorola Moto X","xt1052"
"Motorola Moto X","xt1058"
"Motorola Moto X Force","xt1580"
"Motorola Moto X Play","moto x play"
"Motorola Moto X Play","xt1562"
"Motorola Moto X Pure Edition","xt1575"
"Motorola Moto X Style","xt1572"
"Motorola Moto X4","moto x4"
"Motorola Moto Z","xt1710-02"
"Motorola Moto Z Play","xt1635-02"
"Motorola Moto Z Play Droid","xt1635-01"
"Motorola Moto Z2 Force","xt1789-05"
"Motorola Moto Z2 Play","moto z (2)"
"Motorola Moto Z2 Play","xt1710-01"
"Motorola Moto Z2 Play","moto z2 play"
"Motorola V500","v500"
"Motorola X Play ","xt1564"
"nokia 2","nokia 2"
"Nokia 3","ta-1032"
"Nokia 3","ta-1020"
"Nokia 5","ta-1053"
"Nokia 5","ta-1024"
"Nokia 5530 XpressMusic","5530"
"Nokia 6","ta-1021"
"NOKIA 6","ta-1033"
"Nokia 6.1","nokia 6.1"
"Nokia 7","ta-1046"
"Nokia 7 Plus","nokia 7 plus"
"Nokia 8","ta-1012"
"Nokia 8 ta-1004","ta-1004"
"Nokia Lumia 630","lumia 630"
"Nokia Lumia 635","rm-974"
"Nokia Lumia 830","lumia 830"
"note 5a","note 5a"
"Null","null"
"Null","generic"
"Null","generic android mobile"
"Null","unknown"
"null","chrome - os x"
"null","mp450"
"null","android 8.0"
"null","air"
"null","fire tv stick (2nd gen)"
"null","android 4.4 tablet"
"null","6.1"
"null","kfot"
"null","aftn"
"null","android 4.4"
"null","k9"
"null","non-mobile"
"null","aftm"
"null","r1s"
"null","chromebook r11"
"null","android 4.0"
"null","k92"
"null","chrome - windows"
"null","4g"
"null","android 7.0"
"null","android 6.0"
"null","4g dual"
"null","android 8.1"
"null","aftt"
"null","android 5.1"
"null","android 7.1"
"null","10"
"null","2"
"null","m400"
"Null","phone"
"null","android 2.0"
"null","d-01j"
"null","sh-03j"
"null","a006"
"Nvidia Shield","shield tablet k1"
"NZXT H500","h500"
"OnePlus 2","a2003"
"OnePlus 2","one a2003"
"OnePlus 3","3 a3000"
"OnePlus 3","oneplus a3000"
"Oneplus 3","3 a3003"
"Oneplus 3","oneplus a3003"
"OnePlus 3T","a3003"
"OnePlus 5","5 a5000"
"OnePlus 5","oneplus a5000"
"OnePlus 5T","5t a5010"
"OnePlus 5T","a5010"
"OnePlus 5T","oneplus a5010"
"OnePlus 6","a6003"
"OnePlus 6","oneplus a6003"
"OnePlus 6 ","6 a6003"
"OnePlus One","a0001"
"OnePlus One","one"
"OnePlus X E1003","e1003"
"Oppo 1201","1201"
"OPPO A33F","a33f"
"OPPO A37f","a37f"
"Oppo A37FW","a37fw"
"Oppo A39","cph1605"
"Oppo A57","a57"
"Oppo A57","oppo a57"
"Oppo A57","cph1701"
"Oppo A71","cph1717"
"Oppo A71","cph1801"
"Oppo A83","cph1729"
"Oppo F1","f1f"
"OPPO F1 PLUS","x9009"
"Oppo F1s","a1601"
"Oppo F3","cph1609"
"Oppo F3 Plus","cph1613"
"Oppo F5","cph1723"
"OPPO F7","cph1819"
"Oppo Gold F5 Youth ","cph1725"
"Oppo Neo 7","a33w"
"Oppo R9s","cph1607"
"Orange Dive 71","dive 71"
"Orange Rise 51","rise 51"
"Oukitel k6000 pro","k6000 pro"
"Panasonic T11","t11"
"Panasonic T50","t50"
"RCA 10 Viking Pro","rct6303w87dk"
"RCA 7 Voyager II","rct6773w22b"
"RCA Galileo","rct6513w87"
"RCA Viking Pro","rct6303w87m7"
"RCA VIKING PRO III","rct6k03w13"
"RCA Voyager 7","rct6873w42m"
"RCA Voyager 7","rct6873w42"
"RCA Voyager III","rct6973w43"
"Samsung Galaxy 5","sm-g313hz"
"Samsung Galaxy A3","sm-a320fl"
"Samsung Galaxy A3","sm-a310f"
"Samsung Galaxy A3","sm-a300fu"
"Samsung Galaxy A3","sm-a320f"
"Samsung Galaxy A3","sm-a300fu/a300fuxxu1cph3"
"Samsung Galaxy A3","sm-a300m"
"Samsung Galaxy A3","sm-a300h"
"Samsung Galaxy A3","sm-a300f"
"Samsung Galaxy A5","sm-a520f"
"Samsung Galaxy A5","sm-a510f"
"Samsung Galaxy A5","sm-a500fu"
"Samsung Galaxy A5","sm-a520w"
"Samsung Galaxy A5","sm-a500f"
"Samsung Galaxy A5","sm-a500g"
"Samsung Galaxy A5","sm-a500w"
"Samsung Galaxy A5","sm-a500h"
"Samsung Galaxy A5","sm-a500m"
"Samsung Galaxy A5","sm-a510m"
"Samsung Galaxy A6","sm-a600fn"
"Samsung Galaxy A6","sm-a600g"
"Samsung Galaxy A6+","sm-a605fn"
"Samsung Galaxy A6+","sm-a605f"
"Samsung Galaxy A6plus","sm-a605fn/ds"
"Samsung Galaxy A7","sm-a720f"
"Samsung Galaxy A7","sm-a710f"
"Samsung Galaxy A7","sm-a700fd"
"Samsung Galaxy A7","a7"
"Samsung Galaxy A7","sm-a700h"
"Samsung Galaxy A7","sm-a710m"
"Samsung Galaxy A7","sm-a700f"
"Samsung Galaxy A8","sm-a530f"
"Samsung Galaxy A8","sm-a810f"
"Samsung Galaxy A8","sm-a800i"
"Samsung Galaxy A8","sm-a800f"
"Samsung Galaxy A8","sm-a530w"
"Samsung Galaxy A8+","sm-a730f"
"Samsung Galaxy A9","sm-a9000"
"Samsung Galaxy A9","a9"
"Samsung Galaxy A9 Pro","sm-a910f"
"Samsung Galaxy Ace 3","gt-s7275r"
"Samsung Galaxy Ace 4","sm-g357fz"
"Samsung GALAXY Alpha","sm-g850f"
"Samsung Galaxy Alpha ","sm-g850fq"
"Samsung Galaxy Amp 2","samsung-sm-j120az"
"Samsung Galaxy Amp 2","sm-j120az"
"Samsung Galaxy Amp Prime","sm-j320az"
"Samsung Galaxy Amp Prime","samsung-sm-j320az"
"Samsung Galaxy Amp Prime 2","sm-j327az"
"Samsung Galaxy Amp Prime 2","samsung-sm-j327az"
"Samsung Galaxy Avant","sm-g386t1"
"Samsung Galaxy Avant","sm-g386t"
"Samsung Galaxy C5","c5"
"Samsung Galaxy C5","sm-c5000"
"Samsung Galaxy C7","sm-c7010"
"Samsung Galaxy C7","sm-c7000"
"Samsung Galaxy C8","c-8"
"Samsung Galaxy C8","sm-c7100"
"Samsung Galaxy C9 Pro","sm-c900f"
"Samsung Galaxy C9 Pro","c9"
"Samsung Galaxy C9 Pro","sm-c9000"
"Samsung Galaxy Core","sm-g386f"
"Samsung Galaxy Core","gt-i8262"
"Samsung Galaxy Core","gt-i8260"
"Samsung Galaxy Core","sm-g386w"
"Samsung Galaxy Core 2","sm-g355m"
"Samsung Galaxy Core 2","sm-g355h"
"Samsung Galaxy Core 2","sm-g355hn"
"Samsung Galaxy Core Plus","sm-g350"
"Samsung Galaxy Core Prime","sm-g361f"
"Samsung Galaxy Core Prime","sm-g360p"
"Samsung Galaxy Core Prime","sm-g360t"
"Samsung Galaxy CORE Prime","sm-g360m"
"Samsung Galaxy Core Prime","sm-g360f"
"Samsung Galaxy Core Prime","sm-g360h"
"Samsung Galaxy Core Prime","sm-g361h"
"Samsung Galaxy CORE Prime","sm-g360t1"
"Samsung Galaxy Core Prime","sm-g360v"
"Samsung Galaxy Core Prime","sm-s820l"
"Samsung Galaxy E5","sm-e500f"
"Samsung Galaxy E5","sm-e500m"
"Samsung Galaxy E5","sm-e500h"
"Samsung Galaxy E7","sm-e700h"
"Samsung Galaxy E7","sm-e700f"
"Samsung Galaxy Express 2","sm-g3815"
"Samsung Galaxy Express 3","samsung-sm-j120a"
"Samsung Galaxy Express 3","sm-j120a"
"Samsung Galaxy Express Prime","sm-j320a"
"Samsung Galaxy Express Prime","samsung-sm-j320a"
"Samsung Galaxy Feel","sc-04j"
"Samsung Galaxy Gran Neo","gt-i9063t"
"Samsung Galaxy Gran Prime","sm-g530bt"
"Samsung Galaxy Grand","gt-i9060"
"Samsung Galaxy Grand","gt-i9082"
"samsung galaxy grand 2","sm-g710"
"Samsung Galaxy Grand 2","sm-g7102"
"Samsung Galaxy Grand 2","sm-g7105"
"Samsung Galaxy Grand Max","sm-g720ax"
"Samsung Galaxy Grand Neo","gt-i9060i"
"Samsung Galaxy Grand Neo","gt-i9060c"
"Samsung Galaxy Grand Neo","gt-i9060m"
"Samsung Galaxy Grand Prime","sm-g531h"
"Samsung Galaxy Grand Prime","sm-g530fz"
"Samsung Galaxy Grand Prime","sm-g531m"
"Samsung Galaxy Grand Prime","sm-g530a"
"Samsung Galaxy Grand Prime","sm-g530p"
"Samsung Galaxy Grand Prime","sm-g530r4"
"Samsung Galaxy Grand Prime","sm-g530h"
"Samsung Galaxy Grand Prime","sm-g530f"
"Samsung Galaxy Grand Prime","sm-s920l"
"Samsung Galaxy Grand Prime","sm-g530t"
"Samsung Galaxy Grand Prime","sm-g530az"
"Samsung Galaxy GRAND Prime","sm-g530w"
"Samsung Galaxy Grand Prime ","sm-g530t1"
"Samsung Galaxy Grand Prime ","samsung-sm-g530az"
"Samsung Galaxy Grand Prime Duos TV","sm-g531bt"
"Samsung Galaxy Grand Prime Plus","sm-g532f"
"Samsung Galaxy Grand Prime Plus","sm-g531f"
"Samsung Galaxy J1","sm-j120w"
"Samsung Galaxy J1","sm-j100f"
"Samsung Galaxy J1","sm-j100fn"
"Samsung Galaxy J1","sm-j120m"
"Samsung Galaxy J1","sm-j120h"
"Samsung Galaxy J1","sm-j100h"
"Samsung Galaxy J1","sm-j120fn"
"Samsung Galaxy J1","sm-j120f"
"Samsung Galaxy J1","sm-j100vpp"
"Samsung Galaxy J1 4G","sm-j120g"
"Samsung Galaxy J1 Ace","sm-j110f"
"Samsung Galaxy J1 Ace","sm-j110m"
"Samsung Galaxy J1 Ace","sm-j110h"
"Samsung Galaxy J1 Ace","sm-j111m"
"Samsung Galaxy J1 Ace Neo","sm-j111f"
"Samsung Galaxy J1 Mini","sm-j105f"
"Samsung Galaxy J1 mini","sm-j105m"
"Samsung Galaxy J1 mini","sm-j105b"
"Samsung Galaxy J1 Mini","sm-j105h"
"Samsung Galaxy J1 Mini Prime","sm-j106b"
"Samsung Galaxy J1 Mini Prime","sm-j106h"
"Samsung Galaxy J1 Mini Prime","sm-j106f"
"Samsung Galaxy J2","sm-j200f"
"Samsung Galaxy J2","sm-j200g"
"Samsung Galaxy J2","sm-j200h"
"Samsung Galaxy J2","sm-j210f"
"Samsung Galaxy J2","sm-j200m"
"Samsung Galaxy J2","sm-j200bt"
"Samsung Galaxy J2 Prime","sm-g532mt"
"Samsung Galaxy J2 Prime","sm-g532m"
"Samsung Galaxy J2 Prime","sm-g532g"
"Samsung Galaxy J2 Pro","sm-j250f"
"Samsung Galaxy J2 Pro","sm-j250m"
"Samsung Galaxy J3","sm-j327p"
"Samsung Galaxy J3","sm-j320f"
"Samsung Galaxy J3","sm-j330f"
"Samsung Galaxy J3","sm-j320h"
"Samsung Galaxy J3","sm-j320r4"
"Samsung Galaxy J3","sm-j337a"
"Samsung Galaxy J3","sm-j326az"
"Samsung Galaxy J3","sm-j327a"
"Samsung Galaxy J3","sm-j320m"
"Samsung Galaxy J3","sm-j320p"
"Samsung Galaxy J3","sm-j327vpp"
"Samsung Galaxy J3","samsung-sm-j327a"
"Samsung Galaxy J3","sm-s337tl"
"Samsung Galaxy J3","sm-j320w8"
"Samsung Galaxy J3","sm-j327r4"
"Samsung Galaxy J3 ","sm-j327u"
"Samsung Galaxy J3 ","sm-j320g"
"Samsung Galaxy J3 Eclipse","sm-j327v"
"Samsung Galaxy J3 Eclipse 2","sm-j337v"
"Samsung Galaxy J3 Luna Pro","sm-s327vl"
"Samsung Galaxy J3 Prime","sm-j327t1"
"Samsung Galaxy J3 Prime","sm-j327w"
"Samsung Galaxy J3 Prime","sm-j327t"
"Samsung Galaxy J3 Pro","sm-j330g"
"Samsung Galaxy J3 Pro","sm-j3110"
"Samsung Galaxy J3 Sky","sm-s320vl"
"Samsung Galaxy J3 Star","sm-j337t"
"Samsung Galaxy J3 V","sm-j320v"
"Samsung Galaxy J4","sm-j400f"
"Samsung Galaxy J5","sm-j510fn"
"Samsung Galaxy J5","sm-j530f"
"Samsung Galaxy J5","sm-j500fn"
"Samsung Galaxy J5","sm-j500f"
"Samsung Galaxy J5","sm-j500m"
"Samsung Galaxy J5","sm-g570y"
"Samsung Galaxy J5","sm-j510gn"
"Samsung Galaxy J5","sm-j5108"
"Samsung Galaxy J5","sm-j500h"
"Samsung Galaxy J5","sm-j510f"
"Samsung Galaxy J5","sm-j510fq"
"Samsung Galaxy J5","sm-j510mn"
"Samsung Galaxy J5","sm-j510h"
"Samsung Galaxy J5","sm-j500g"
"Samsung Galaxy J5","sm-j530fm"
"Samsung Galaxy J5 Prime","sm-g570f"
"Samsung Galaxy J5 Prime","sm-g570m"
"Samsung Galaxy J5 Prime","sm-g5700"
"Samsung Galaxy J5 Pro","sm-j530g"
"Samsung Galaxy J5 Pro","sm-j530y"
"Samsung Galaxy J6","sm-j600fn"
"Samsung Galaxy J6","sm-j600f"
"Samsung Galaxy J6","sm-j600g"
"Samsung Galaxy J7","sm-j730f"
"Samsung Galaxy J7","sm-j700f"
"Samsung Galaxy J7","j701f"
"Samsung Galaxy J7","sm-s727vl"
"Samsung Galaxy J7","sm-j710fq"
"Samsung Galaxy J7","sm-j700h"
"Samsung Galaxy J7","sm-j700m"
"Samsung Galaxy J7","sm-j727v"
"Samsung Galaxy J7","sm-s727p"
"Samsung Galaxy J7","sm-j720f"
"Samsung Galaxy J7","sm-s727t"
"Samsung Galaxy J7","sm-j700t1"
"Samsung Galaxy J7","sm-j700p"
"Samsung Galaxy J7","sm-j727a"
"Samsung Galaxy J7","sm-j710gn"
"Samsung Galaxy J7","samsung-sm-j727a"
"Samsung Galaxy J7","sm-j727r4"
"Samsung Galaxy J7","sm-j727u"
"Samsung Galaxy J7 ","sm-j710mn"
"Samsung Galaxy J7 ","sm-j700t"
"Samsung Galaxy J7 ","sm-j730fm"
"SAMSUNG Galaxy J7 Halo","sm-j727az"
"SAMSUNG Galaxy J7 Halo","samsung-sm-j727az"
"Samsung Galaxy J7 Ma","sm-g615f"
"Samsung Galaxy J7 Neo","j701m"
"Samsung Galaxy J7 Neo","sm-j701mt"
"Samsung Galaxy J7 Neo","sm-j701m"
"Samsung Galaxy J7 Nxt","sm-j701f"
"Samsung Galaxy J7 plus","sm-c710f"
"Samsung Galaxy J7 Prime","sm-g610f"
"Samsung Galaxy J7 Prime","sm-j710f"
"Samsung Galaxy J7 Prime","sm-g610m"
"Samsung Galaxy J7 Prime","sm-j727t1"
"Samsung Galaxy J7 Prime","sm-j610f"
"Samsung Galaxy J7 Prime","sm-j727t"
"Samsung Galaxy J7 Prime","sm-s727t1"
"Samsung Galaxy J7 Prime","sm-g610y"
"Samsung Galaxy J7 Prime","sm-g6100"
"Samsung Galaxy J7 Prime 2","sm-g611mt"
"Samsung Galaxy J7 Prime 2","sm-g611f"
"Samsung Galaxy J7 Pro","sm-j730gm"
"Samsung Galaxy J7 Pro","sm-j730g"
"Samsung Galaxy J7 Refine","sm-j737p"
"Samsung Galaxy J7 Sky Pro","sm-s737tl"
"Samsung Galaxy J7 V","sm-j727p"
"Samsung Galaxy J7 V","sm-j737v"
"Samsung Galaxy J7 V","sm-j727vpp"
"Samsung Galaxy Luna","sm-s120vl"
"Samsung Galaxy Mega","gt-i9152"
"Samsung Galaxy Mega","gt-i9200"
"Samsung Galaxy Note","sm-p605"
"Samsung Galaxy Note","gt-n8013"
"Samsung Galaxy Note","sm-n915v"
"Samsung Galaxy Note","gt-n8000"
"Samsung Galaxy Note 10.1","gt-n8020"
"Samsung Galaxy Note 10.1","sm-p600"
"Samsung Galaxy Note 10.1","gt-n8010"
"Samsung Galaxy Note 2","gt-n7105"
"Samsung Galaxy Note 2","sch-i605"
"Samsung Galaxy Note 3","sm-n9005"
"Samsung Galaxy Note 3","sm-n9000q"
"Samsung Galaxy Note 3","sm-n900w8"
"Samsung Galaxy Note 3","sm-n900t"
"Samsung Galaxy Note 3","sm-n900v"
"Samsung Galaxy Note 3","sm-n900"
"Samsung GALAXY Note 3","sm-n900a"
"Samsung GALAXY Note 3","sm-n900p"
"Samsung GALAXY Note 3","samsung-sm-n900a"
"Samsung Galaxy Note 3 Neo","sm-n750"
"Samsung Galaxy Note 3 Neo","sm-n7505"
"Samsung GALAXY Note 3 Neo","sm-n7500q"
"Samsung Galaxy Note 4","sm-n910c"
"Samsung Galaxy Note 4","sm-n910f"
"Samsung Galaxy Note 4","sm-n910g"
"Samsung Galaxy Note 4","sm-n910w8"
"Samsung Galaxy Note 4","sm-n910t3"
"Samsung Galaxy Note 4","sm-n910v"
"Samsung Galaxy Note 4","sm-n910a"
"Samsung Galaxy Note 4","sm-n910t"
"Samsung Galaxy Note 4","sm-n910h"
"Samsung Galaxy Note 4","sm-n910p"
"Samsung Galaxy Note 4","samsung-sm-n910a"
"Samsung Galaxy Note 5","sm-n920f"
"Samsung Galaxy Note 5","sm-n9200"
"Samsung Galaxy Note 5","sm-n920g"
"Samsung Galaxy Note 5","sm-n920k"
"Samsung Galaxy Note 5","sm-n920p"
"Samsung Galaxy Note 5","sm-n920a"
"Samsung Galaxy Note 5","samsung-sm-n920a"
"Samsung Galaxy Note 5","sm-n920w8"
"Samsung Galaxy Note 5 ","sm-n920c"
"Samsung Galaxy Note 5 ","sm-n920v"
"Samsung Galaxy Note 5 ","sm-n920i"
